sample_sizes,power_effect1,power_effect2,power_effect3
100,0.044,0.068,0.104
300,0.076,0.134,0.238
500,0.086,0.176,0.368
700,0.108,0.274,0.518
900,0.108,0.314,0.662
1100,0.114,0.392,0.74
1300,0.132,0.452,0.776
1500,0.144,0.494,0.86
1700,0.148,0.538,0.894
1900,0.196,0.588,0.882
2100,0.178,0.616,0.934
2300,0.24,0.664,0.942
2500,0.25,0.726,0.97
2700,0.226,0.752,0.98
2900,0.274,0.778,0.978
3100,0.288,0.794,0.982
3300,0.308,0.824,0.99
3500,0.34,0.838,0.992
3700,0.324,0.84,0.996
3900,0.332,0.886,0.996
4100,0.364,0.89,0.994
4300,0.368,0.91,1
4500,0.394,0.916,0.998
4700,0.374,0.926,1
4900,0.442,0.928,1
5100,0.442,0.958,0.998
5300,0.428,0.96,1
5500,0.466,0.95,1
5700,0.462,0.982,1
5900,0.494,0.976,1
